dataset	id	mean_discrepancy	num_discrepancy	n	prefix
tracktor-final	Fly1	4.38010556054401e-05	2	45661	49
tracktor-final	Fly2	0	0	45661	49
tracktor-final	Fly3	6.57015834081601e-05	3	45661	49
tracktor-final	Fly4	0.00013140316681632	6	45661	49
tracktor-final	Fly5	0	0	45661	49
tracktor-final	Fly6	4.38010556054401e-05	2	45661	49
tracktor-raw	Fly1	0.00017520422242176	8	45661	49
tracktor-raw	Fly2	0.00015330369461904	7	45661	49
tracktor-raw	Fly3	0.00013140316681632	6	45661	49
tracktor-raw	Fly4	0.000525612667265281	24	45661	49
tracktor-raw	Fly5	0.000262806333632641	12	45661	49
tracktor-raw	Fly6	0.000284706861435361	13	45661	49
tracktor-final	Fly1	0.00477235443253723	224	46937	20
tracktor-final	Fly2	0.00460191320280376	216	46937	20
tracktor-final	Fly3	0.00432494620448687	203	46937	20
tracktor-final	Fly4	0.00464452351023713	218	46937	20
tracktor-final	Fly5	0.00502801627713744	236	46937	20
tracktor-final	Fly6	0.00688156465048895	323	46937	20
tracktor-raw	Fly1	0.0231800072437523	1088	46937	20
tracktor-raw	Fly2	0.0256514050748876	1204	46937	20
tracktor-raw	Fly3	0.0229669557065854	1078	46937	20
tracktor-raw	Fly4	0.026098813302938	1225	46937	20
tracktor-raw	Fly5	0.0284849905192066	1337	46937	20
tracktor-raw	Fly6	0.0247352834650702	1161	46937	20
tracktor-final	Fly1	0	0	46980	63
tracktor-final	Fly2	0	0	46980	63
tracktor-final	Fly3	0	0	46980	63
tracktor-final	Fly4	0	0	46980	63
tracktor-final	Fly5	4.2571306939123e-05	2	46980	63
tracktor-final	Fly6	0	0	46980	63
tracktor-raw	Fly1	0	0	46980	63
tracktor-raw	Fly2	2.12856534695615e-05	1	46980	63
tracktor-raw	Fly3	4.2571306939123e-05	2	46980	63
tracktor-raw	Fly4	0	0	46980	63
tracktor-raw	Fly5	4.2571306939123e-05	2	46980	63
tracktor-raw	Fly6	0	0	46980	63
tracktor-final	Fly1	0.000909918107370337	44	48356	68
tracktor-final	Fly2	0.00105467780627016	51	48356	68
tracktor-final	Fly3	0.00076515840847051	37	48356	68
tracktor-final	Fly4	0.000806518322441889	39	48356	68
tracktor-final	Fly5	0.0007858383654562	38	48356	68
tracktor-final	Fly6	0.000661758623542063	32	48356	68
tracktor-raw	Fly1	0.0111051369013152	537	48356	68
tracktor-raw	Fly2	0.00694846554719166	336	48356	68
tracktor-raw	Fly3	0.00719662503101994	348	48356	68
tracktor-raw	Fly4	0.00630738688063529	305	48356	68
tracktor-raw	Fly5	0.00980229961121681	474	48356	68
tracktor-raw	Fly6	0.00831334270824717	402	48356	68
tracktor-final	Fly1	0	0	44480	69
tracktor-final	Fly2	4.49640287769784e-05	2	44480	69
tracktor-final	Fly3	4.49640287769784e-05	2	44480	69
tracktor-final	Fly4	2.24820143884892e-05	1	44480	69
tracktor-final	Fly5	0	0	44480	69
tracktor-final	Fly6	2.24820143884892e-05	1	44480	69
tracktor-raw	Fly1	2.24820143884892e-05	1	44480	69
tracktor-raw	Fly2	6.74460431654676e-05	3	44480	69
tracktor-raw	Fly3	4.49640287769784e-05	2	44480	69
tracktor-raw	Fly4	6.74460431654676e-05	3	44480	69
tracktor-raw	Fly5	4.49640287769784e-05	2	44480	69
tracktor-raw	Fly6	0	0	44480	69
tracktor-final	Fly1	0	0	48864	53
tracktor-final	Fly2	0	0	48864	53
tracktor-final	Fly3	0	0	48864	53
tracktor-final	Fly4	0	0	48864	53
tracktor-final	Fly5	0	0	48864	53
tracktor-final	Fly6	0	0	48864	53
tracktor-raw	Fly1	0	0	48864	53
tracktor-raw	Fly2	0	0	48864	53
tracktor-raw	Fly3	0	0	48864	53
tracktor-raw	Fly4	0	0	48864	53
tracktor-raw	Fly5	0	0	48864	53
tracktor-raw	Fly6	0	0	48864	53
tracktor-final	Fly1	0	0	43091	97
tracktor-final	Fly2	0	0	43091	97
tracktor-final	Fly3	0	0	43091	97
tracktor-final	Fly4	0	0	43091	97
tracktor-final	Fly5	0	0	43091	97
tracktor-final	Fly6	0	0	43091	97
tracktor-raw	Fly1	0	0	43091	97
tracktor-raw	Fly2	9.28268083822608e-05	4	43091	97
tracktor-raw	Fly3	9.28268083822608e-05	4	43091	97
tracktor-raw	Fly4	0	0	43091	97
tracktor-raw	Fly5	0	0	43091	97
tracktor-raw	Fly6	4.64134041911304e-05	2	43091	97
tracktor-final	Fly1	0	0	47410	37
tracktor-final	Fly2	0	0	47410	37
tracktor-final	Fly3	0	0	47410	37
tracktor-final	Fly4	0	0	47410	37
tracktor-final	Fly5	4.2185192997258e-05	2	47410	37
tracktor-final	Fly6	0	0	47410	37
tracktor-raw	Fly1	0	0	47410	37
tracktor-raw	Fly2	0	0	47410	37
tracktor-raw	Fly3	0	0	47410	37
tracktor-raw	Fly4	0	0	47410	37
tracktor-raw	Fly5	0	0	47410	37
tracktor-raw	Fly6	0	0	47410	37
tracktor-final	Fly1	0.00341339291255508	165	48339	29
tracktor-final	Fly2	0.00378576304847018	183	48339	29
tracktor-final	Fly3	0.0018618506795755	90	48339	29
tracktor-final	Fly4	0.0019652868284408	95	48339	29
tracktor-final	Fly5	0.00171704007116407	83	48339	29
tracktor-final	Fly6	0.0018618506795755	90	48339	29
tracktor-raw	Fly1	0.00316514615527835	153	48339	29
tracktor-raw	Fly2	0.00390988642710855	189	48339	29
tracktor-raw	Fly3	0.00330995676368977	160	48339	29
tracktor-raw	Fly4	0.00403400980574691	195	48339	29
tracktor-raw	Fly5	0.00266865264072488	129	48339	29
tracktor-raw	Fly6	0.00328926953391671	159	48339	29
tracktor-final	Fly1	4.13599139713789e-05	2	48356	67
tracktor-final	Fly2	0	0	48356	67
tracktor-final	Fly3	0.000124079741914137	6	48356	67
tracktor-final	Fly4	0.000124079741914137	6	48356	67
tracktor-final	Fly5	8.27198279427579e-05	4	48356	67
tracktor-final	Fly6	0.000206799569856895	10	48356	67
tracktor-raw	Fly1	0.000124079741914137	6	48356	67
tracktor-raw	Fly2	0.000124079741914137	6	48356	67
tracktor-raw	Fly3	0.000124079741914137	6	48356	67
tracktor-raw	Fly4	0.000289519397799653	14	48356	67
tracktor-raw	Fly5	0.000165439655885516	8	48356	67
tracktor-raw	Fly6	0.000413599139713789	20	48356	67
tracktor-final	Fly1	0.00011097054841645	5	45057	80
tracktor-final	Fly2	0.000909958497014892	41	45057	80
tracktor-final	Fly3	0.000244135206516191	11	45057	80
tracktor-final	Fly4	0.000266329316199481	12	45057	80
tracktor-final	Fly5	0.000554852742082251	25	45057	80
tracktor-final	Fly6	0.00013316465809974	6	45057	80
tracktor-raw	Fly1	0.00179772288434649	81	45057	80
tracktor-raw	Fly2	0.00226379918769559	102	45057	80
tracktor-raw	Fly3	0.00213063452959585	96	45057	80
tracktor-raw	Fly4	0.00241915795547862	109	45057	80
tracktor-raw	Fly5	0.00162017000688017	73	45057	80
tracktor-raw	Fly6	0.00146481123909714	66	45057	80
tracktor-final	Fly1	6.51324359531046e-05	3	46060	33
tracktor-final	Fly2	8.68432479374729e-05	4	46060	33
tracktor-final	Fly3	8.68432479374729e-05	4	46060	33
tracktor-final	Fly4	2.17108119843682e-05	1	46060	33
tracktor-final	Fly5	0.000108554059921841	5	46060	33
tracktor-final	Fly6	8.68432479374729e-05	4	46060	33
tracktor-raw	Fly1	0.000151975683890578	7	46060	33
tracktor-raw	Fly2	0.000108554059921841	5	46060	33
tracktor-raw	Fly3	0.000282240555796787	13	46060	33
tracktor-raw	Fly4	2.17108119843682e-05	1	46060	33
tracktor-raw	Fly5	0.000282240555796787	13	46060	33
tracktor-raw	Fly6	6.51324359531046e-05	3	46060	33
tracktor-final	Fly1	0	0	45679	99
tracktor-final	Fly2	0	0	45679	99
tracktor-final	Fly3	4.37837956172421e-05	2	45679	99
tracktor-final	Fly4	4.37837956172421e-05	2	45679	99
tracktor-final	Fly5	0	0	45679	99
tracktor-final	Fly6	0	0	45679	99
tracktor-raw	Fly1	0	0	45679	99
tracktor-raw	Fly2	0	0	45679	99
